Soil Type,Factor,Condition Level,min_value,max_value,Message,Advice
Calcic Red Yellow Latosols,Moisture (%),Critical Low,0.0,10.9,The soil is extremely dry.,Apply a large amount of water immediately.
Calcic Red Yellow Latosols,Moisture (%),Low,10.9,21.28,Moisture levels are decreasing.,Start irrigation.
Calcic Red Yellow Latosols,Moisture (%),Optimal,21.28,53.55,Moisture level is very good.,Maintain the current condition consistently.
Calcic Red Yellow Latosols,Moisture (%),High,53.55,63.25,Moisture level is high.,Stop watering.
Calcic Red Yellow Latosols,Moisture (%),Critical High,63.25,99999.0,The soil is saturated with water.,Improve drainage immediately.
Calcic Red Yellow Latosols,pH Level,Critical Low,0.0,7.78,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Calcic Red Yellow Latosols,pH Level,Low,7.78,7.88,Acidity is increasing.,Apply agricultural lime or dolomite.
Calcic Red Yellow Latosols,pH Level,Optimal,7.88,8.11,pH level is at an optimal level.,Soil condition is good.
Calcic Red Yellow Latosols,pH Level,High,8.11,8.21,Alkalinity is increasing.,Apply organic fertilizer or compost.
Calcic Red Yellow Latosols,pH Level,Critical High,8.21,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Calcic Red Yellow Latosols,Nitrogen (N),Critical Low,0.0,25.81,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Calcic Red Yellow Latosols,Nitrogen (N),Low,25.81,27.77,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Calcic Red Yellow Latosols,Nitrogen (N),Optimal,27.77,32.38,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Calcic Red Yellow Latosols,Nitrogen (N),High,32.38,34.13,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Calcic Red Yellow Latosols,Nitrogen (N),Critical High,34.13,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Calcic Red Yellow Latosols,Phosphorus (P),Critical Low,0.0,14.29,Phosphorus deficiency is very severe.,Apply a high dose of fertilizer rich in Phosphorus immediately.
Calcic Red Yellow Latosols,Phosphorus (P),Low,14.29,15.79,Phosphorus quantity is decreasing.,Apply fertilizer containing Phosphorus.
Calcic Red Yellow Latosols,Phosphorus (P),Optimal,15.79,19.09,Phosphorus quantity is optimal.,Additional fertilizer is not required.
Calcic Red Yellow Latosols,Phosphorus (P),High,19.09,20.56,Phosphorus quantity is at a high level.,Temporarily stop applying this fertilizer.
Calcic Red Yellow Latosols,Phosphorus (P),Critical High,20.56,99999.0,Phosphorus quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Calcic Red Yellow Latosols,Potassium (K),Critical Low,0.0,193.24,Potassium deficiency is very severe.,Apply a high dose of fertilizer rich in Potassium immediately.
Calcic Red Yellow Latosols,Potassium (K),Low,193.24,208.28,Potassium quantity is decreasing.,Apply fertilizer containing Potassium.
Calcic Red Yellow Latosols,Potassium (K),Optimal,208.28,242.59,Potassium quantity is optimal.,Additional fertilizer is not required.
Calcic Red Yellow Latosols,Potassium (K),High,242.59,257.24,Potassium quantity is at a high level.,Temporarily stop applying this fertilizer.
Calcic Red Yellow Latosols,Potassium (K),Critical High,257.24,99999.0,Potassium quantity is at a toxic level.,Stop applying fertilizer and leach with water.
Calcic Red Yellow Latosols,Temperature (°C),Critical Low,0.0,29.65,Temperature is extremely low.,Apply plant covers.
Calcic Red Yellow Latosols,Temperature (°C),Low,29.65,30.47,Temperature is lower than normal.,This is a normal condition.
Calcic Red Yellow Latosols,Temperature (°C),Optimal,30.47,32.56,Temperature is at an optimal level.,Environmental condition is good.
Calcic Red Yellow Latosols,Temperature (°C),High,32.56,33.36,Temperature is increasing.,Perform mulching.
Calcic Red Yellow Latosols,Temperature (°C),Critical High,33.36,99999.0,Temperature is extremely high.,Provide extra shade. Perform irrigation.
Reddish Brown Latosolic,Moisture (%),Critical Low,0.0,11.43,The soil is extremely dry.,Apply a large amount of water immediately.
Reddish Brown Latosolic,Moisture (%),Low,11.43,20.85,Moisture levels are decreasing.,Start irrigation.
Reddish Brown Latosolic,Moisture (%),Optimal,20.85,53.41,Moisture level is very good.,Maintain the current condition consistently.
Reddish Brown Latosolic,Moisture (%),High,53.41,63.36,Moisture level is high.,Stop watering.
Reddish Brown Latosolic,Moisture (%),Critical High,63.36,99999.0,The soil is saturated with water.,Improve drainage immediately.
Reddish Brown Latosolic,pH Level,Critical Low,0.0,5.79,The soil is extremely acidic.,Apply a high dose of dolomite immediately.
Reddish Brown Latosolic,pH Level,Low,5.79,5.9,Acidity is increasing.,Apply agricultural lime or dolomite.
Reddish Brown Latosolic,pH Level,Optimal,5.9,6.11,pH level is at an optimal level.,Soil condition is good.
Reddish Brown Latosolic,pH Level,High,6.11,6.22,Alkalinity is increasing.,Apply organic fertilizer or compost.
Reddish Brown Latosolic,pH Level,Critical High,6.22,99999.0,The soil is extremely alkaline.,Apply sulfur-containing materials.
Reddish Brown Latosolic,Nitrogen (N),Critical Low,0.0,38.64,Nitrogen deficiency is very severe.,Apply a high dose of fertilizer rich in Nitrogen immediately.
Reddish Brown Latosolic,Nitrogen (N),Low,38.64,41.81,Nitrogen quantity is decreasing.,Apply fertilizer containing Nitrogen.
Reddish Brown Latosolic,Nitrogen (N),Optimal,41.81,48.4,Nitrogen quantity is optimal.,Additional fertilizer is not required.
Reddish Brown Latosolic,Nitrogen (N),High,48.4,51.53,Nitrogen quantity is at a high level.,Temporarily stop applying this fertilizer.
Reddish Brown Latosolic,Nitrogen (N),Critical High,51.53,99999.0,Nitrogen quantity is at a toxic level.,Stop applying fertilizer and leach with water.
